Block Type,96well,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150907_KBayRecov_Mcap_copynumber.eds,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-09-07 18:27:54 PM HST,,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,OUTLIERRG,EXPFAIL
A1,,,,,,,,,,,,,,,,,,N,N,N,N
C6,,C,STANDARD,VIC,NFQ-MGB,24.25193977,24.13555336,0.210117936,10000,,,TRUE,0.014270259,TRUE,3,22,,N,N,N,N
C7,#43_N09,C,UNKNOWN,VIC,NFQ-MGB,35.15488815,35.53308105,0.534845531,4.568482399,3.637009144,1.317302108,TRUE,0.014270259,TRUE,3,34,,Y,N,N,N
C7,#43_N09,D,UNKNOWN,FAM,NFQ-MGB,27.24121284,27.1362896,0.210812047,1203.363037,1294.101685,179.0891876,TRUE,0.047459443,TRUE,3,24,,Y,N,N,N
C8,#43_N09,C,UNKNOWN,VIC,NFQ-MGB,35.91127396,35.53308105,0.534845531,2.705535889,3.637009144,1.317302108,TRUE,0.014270259,TRUE,3,34,,Y,N,N,N
C8,#43_N09,D,UNKNOWN,FAM,NFQ-MGB,27.27405167,27.1362896,0.210812047,1178.542969,1294.101685,179.0891876,TRUE,0.047459443,TRUE,3,24,,Y,N,N,N
C9,#43_N09,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,35.53308105,0.534845531,,,,TRUE,0.014270259,TRUE,3,36,,N,N,N,Y
C9,#43_N09,D,UNKNOWN,FAM,NFQ-MGB,26.89360428,27.1362896,0.210812047,1500.398926,1294.101685,179.0891876,TRUE,0.047459443,TRUE,3,24,,N,N,N,Y
C10,#22_O39,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,37,,N,N,N,Y
C10,#22_O39,D,UNKNOWN,FAM,NFQ-MGB,28.10619164,28.12821388,0.073450051,695.0014648,685.8481445,31.65614891,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
C11,#22_O39,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,37,,N,N,N,Y
C11,#22_O39,D,UNKNOWN,FAM,NFQ-MGB,28.21015739,28.12821388,0.073450051,650.6239014,685.8481445,31.65614891,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
C12,#22_O39,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
C12,#22_O39,D,UNKNOWN,FAM,NFQ-MGB,28.06829643,28.12821388,0.073450051,711.9190674,685.8481445,31.65614891,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
D1,,D,STANDARD,FAM,NFQ-MGB,26.79318428,27.12081909,0.459426016,1000,,,TRUE,0.047459443,TRUE,3,24,,N,N,N,N
D2,,D,STANDARD,FAM,NFQ-MGB,26.9233017,27.12081909,0.459426016,1000,,,TRUE,0.047459443,TRUE,3,24,,N,N,N,N
D3,,D,STANDARD,FAM,NFQ-MGB,27.64597321,27.12081909,0.459426016,1000,,,TRUE,0.047459443,TRUE,3,24,,N,N,N,N
D4,,C,STANDARD,VIC,NFQ-MGB,27.42130661,27.1973629,0.222388729,1000,,,TRUE,0.014270259,TRUE,3,27,,N,N,N,N
D5,,C,STANDARD,VIC,NFQ-MGB,26.9765625,27.1973629,0.222388729,1000,,,TRUE,0.014270259,TRUE,3,25,,N,N,N,N
D6,,C,STANDARD,VIC,NFQ-MGB,27.19421768,27.1973629,0.222388729,1000,,,TRUE,0.014270259,TRUE,3,25,,N,N,N,N
D7,#13_N32,C,UNKNOWN,VIC,NFQ-MGB,27.99887085,27.91875648,0.194194287,649.0546875,690.3259888,95.76675415,TRUE,0.014270259,TRUE,3,27,,N,N,N,N
D7,#13_N32,D,UNKNOWN,FAM,NFQ-MGB,32.27230453,32.54437256,0.378276467,49.39638519,42.33182907,9.450372696,TRUE,0.047459443,TRUE,3,29,,N,N,N,N
D8,#13_N32,C,UNKNOWN,VIC,NFQ-MGB,28.06007767,27.91875648,0.194194287,622.1146851,690.3259888,95.76675415,TRUE,0.014270259,TRUE,3,27,,N,N,N,N
D8,#13_N32,D,UNKNOWN,FAM,NFQ-MGB,32.97634125,32.54437256,0.378276467,31.59687233,42.33182907,9.450372696,TRUE,0.047459443,TRUE,3,30,,N,N,N,N
D9,#13_N32,C,UNKNOWN,VIC,NFQ-MGB,27.69732285,27.91875648,0.194194287,799.8085938,690.3259888,95.76675415,TRUE,0.014270259,TRUE,3,26,,N,N,N,N
D9,#13_N32,D,UNKNOWN,FAM,NFQ-MGB,32.38447189,32.54437256,0.378276467,46.0022316,42.33182907,9.450372696,TRUE,0.047459443,TRUE,3,29,,N,N,N,N
D10,#17_N42,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
D10,#17_N42,D,UNKNOWN,FAM,NFQ-MGB,28.12866974,28.18780518,0.268742472,685.1571045,666.2196655,110.1729736,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
D11,#17_N42,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
D11,#17_N42,D,UNKNOWN,FAM,NFQ-MGB,27.95355415,28.18780518,0.268742472,765.6964111,666.2196655,110.1729736,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
D12,#17_N42,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,TRUE,0.014270259,TRUE,3,39,,N,N,N,Y
D12,#17_N42,D,UNKNOWN,FAM,NFQ-MGB,28.48118973,28.18780518,0.268742472,547.805481,666.2196655,110.1729736,TRUE,0.047459443,TRUE,3,25,,N,N,N,Y
E1,,D,STANDARD,FAM,NFQ-MGB,31.35832214,31.37823677,0.29073137,100,,,TRUE,0.047459443,TRUE,3,28,,N,N,N,N
E2,,D,STANDARD,FAM,NFQ-MGB,31.6784153,31.37823677,0.29073137,100,,,TRUE,0.047459443,TRUE,3,29,,N,N,N,N
E3,,D,STANDARD,FAM,NFQ-MGB,31.09797668,31.37823677,0.29073137,100,,,TRUE,0.047459443,TRUE,3,28,,N,N,N,N
E4,,C,STANDARD,VIC,NFQ-MGB,30.74246788,30.55822945,0.368051112,100,,,TRUE,0.014270259,TRUE,3,29,,N,N,N,N
E5,,C,STANDARD,VIC,NFQ-MGB,30.79777718,30.55822945,0.368051112,100,,,TRUE,0.014270259,TRUE,3,30,,N,N,N,N
E6,,C,STANDARD,VIC,NFQ-MGB,30.13444138,30.55822945,0.368051112,100,,,TRUE,0.014270259,TRUE,3,29,,N,N,N,N
E7,#19_N08,C,UNKNOWN,VIC,NFQ-MGB,36.06167221,36.61412048,1.953686714,2.437888861,2.63570714,2.371001244,TRUE,0.014270259,TRUE,3,34,,Y,N,N,N
