Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150807_KBayRecov_Mcap_1.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-07 10:47:15 AM HST,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,AMPNC,HIGHSD,NOAMP
B4,5_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
C8,6_11.24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C8,6_11.24,D,UNKNOWN,FAM,NFQ-MGB,24.22404289,24.17204285,0.073539168,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C9,7_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,25.08931351,25.37701607,0.406872869,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C10,7_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,25.66471863,25.37701607,0.406872869,,,,FALSE,0.01,FALSE,3,20,,N,N,N
C11,7_01.14,C,UNKNOWN,VIC,NFQ-MGB,23.76753044,23.90368652,0.192552432,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
C11,7_01.14,D,UNKNOWN,FAM,NFQ-MGB,38.80088043,37.58473206,1.719893575,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
C12,7_01.14,C,UNKNOWN,VIC,NFQ-MGB,24.0398407,23.90368652,0.192552432,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
C12,7_01.14,D,UNKNOWN,FAM,NFQ-MGB,36.36858368,37.58473206,1.719893575,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D1,5_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,28.19901848,27.69535446,0.712288499,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D2,5_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,27.19169044,27.69535446,0.712288499,,,,FALSE,0.01,FALSE,3,20,,N,Y,N
D3,5_11.24,C,UNKNOWN,VIC,NFQ-MGB,30.38043022,30.45986557,0.11233855,,,,FALSE,0.01,FALSE,3,20,,N,N,Y
